vm_id,site_id,cpu_rate,report_ts
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591579560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591579680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591579800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591579920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591580040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591580160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591580280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591580400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591580520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591580640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591580760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591580880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591581000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591581120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591581240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591581360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591581480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591581600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591581720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591581840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591581960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591582080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591582440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591582920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591583040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591583160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591583280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591583400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591583520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591583640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591583760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591583880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591584600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591584960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591585080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591585200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591585320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591585440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591585560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591585680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591585800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591585920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591586040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591586160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591586280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591586400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591586520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591586640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591586760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591586880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591587000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591587120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591587240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591587360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591587480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591587600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.5,1591587720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591587840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591587960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591588080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591588200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591588320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591588440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591588560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591588680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591588800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591588920
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589040
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589160
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591589280
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591589400
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589520
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589640
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589760
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591589880
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591590000
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590120
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590240
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590360
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590480
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591590600
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590720
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591590840
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591590960
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591591080
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591591200
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591591320
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591591440
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591591560
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591591680
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.51,1591591800
60121aee39cf70e5969205d079d97042,urumqi-telecom,0.52,1591591920
